ingredient_clean,true_manufacturer_count
CETIRIZINE HYDROCHLORIDE;PSEUDOEPHEDRINE HYDROCHLORIDE,5
CETRORELIX ACETATE,6
CEVIMELINE HYDROCHLORIDE,9
CHENODIOL,2
CHLORAMBUCIL,1
CHLORDIAZEPOXIDE HYDROCHLORIDE,3
CHLORDIAZEPOXIDE HYDROCHLORIDE;CLIDINIUM BROMIDE,12
CHLORHEXIDINE GLUCONATE,15
CHLORHEXIDINE GLUCONATE;ISOPROPYL ALCOHOL,3
CHLOROPROCAINE HYDROCHLORIDE,3
CHLOROQUINE PHOSPHATE,4
CHLOROTHIAZIDE SODIUM,5
CHLORPHENIRAMINE MALEATE,1
CHLORPHENIRAMINE MALEATE;CODEINE PHOSPHATE,1
CHLORPHENIRAMINE MALEATE;HYDROCODONE BITARTRATE;PSEUDOEPHEDRINE HYDROCHLORIDE,1
CHLORPHENIRAMINE MALEATE;IBUPROFEN;PHENYLEPHRINE HYDROCHLORIDE,1
CHLORPHENIRAMINE MALEATE;IBUPROFEN;PSEUDOEPHEDRINE HYDROCHLORIDE,1
CHLORPHENIRAMINE POLISTIREX;HYDROCODONE POLISTIREX,1
CHLORPROMAZINE HYDROCHLORIDE,22
CHLORTHALIDONE,18
CHLORZOXAZONE,11
CHOLESTYRAMINE,11
CHOLIC ACID,1
CHOLINE C-11,2
CHOLINE FENOFIBRATE,8
CHROMIC CHLORIDE,2
CICLESONIDE,1
CICLOPIROX,12
CIDOFOVIR,2
CILASTATIN SODIUM;IMIPENEM,3
CILASTATIN SODIUM;IMIPENEM;RELEBACTAM,1
CILOSTAZOL,5
CIMETIDINE,7
CIMETIDINE HYDROCHLORIDE,2
CINACALCET HYDROCHLORIDE,10
CIPROFLOXACIN,5
CIPROFLOXACIN HYDROCHLORIDE,20
CIPROFLOXACIN HYDROCHLORIDE;FLUOCINOLONE ACETONIDE,1
CIPROFLOXACIN HYDROCHLORIDE;HYDROCORTISONE,2
CIPROFLOXACIN;CIPROFLOXACIN HYDROCHLORIDE,1
CIPROFLOXACIN;DEXAMETHASONE,6
CISATRACURIUM BESYLATE,10
CISPLATIN,7
CITALOPRAM HYDROBROMIDE,11
CITRIC ACID;GLUCONOLACTONE;MAGNESIUM CARBONATE,1
CITRIC ACID;LACTIC ACID;POTASSIUM BITARTRATE,1
CITRIC ACID;MAGNESIUM OXIDE;SODIUM PICOSULFATE,2
CITRIC ACID;UREA C-13,1
CLADRIBINE,5
CLARITHROMYCIN,10
CLASCOTERONE,1
